	id_tweet	created_at	user_name	text	clean	cluster
4820	1049254556394311680	2018-10-08 06:05:55	RedapBogota	Reporte de tránsito 06:00 amIncidente vial entre particular y bus en la Av. Villavicencio con calle 115 sur, sentido sur - norte.Incidente vial entre particular y ciclista en la Av Américas con carrera  73, sentido occidente -oriente.	reportar tránsito        am incidente vial particular y bus av   villavicencio callar      sur   sentir sur    norte incidente vial particular y ciclista av américas carrera       sentir occidente   orientar	1
20052	1054705307925004288	2018-10-23 07:05:15	RedapBogota	Reporte de tránsitoEVENTOS EN VÍA CON IMPACTO en la avenida Boyacá con calle 7 A en sentido Sur norte chocan un bus del SITP y un taxien la avenida de Las Américas con calle 69 B en sentido occidente - oriente chocan un camión y un vehículo particular	reportar tránsitoeventos vía impactar avenir boyacá callar    a sentir sur norte chocar bus sitp y taxien avenir américas callar     b sentir occidente    orientar chocar camión y vehículo particular	1
20160	1054723162179543040	2018-10-23 08:16:12	RedapBogota	Reporte de tránsitoEVENTUALIDADES EN VÍA CON IMPACTO en la avenida  Caracas con calle 45 en sentido norte - sur chocan un vehículo particular y una motocicletaen la avenida Primero de Mayo con calle 40 B Sur en sentido occidente - oriente una motocicleta choca con un taxi	reportar tránsitoeventualidades vía impactar avenir   caracas callar     sentir norte    sur chocar vehículo particular y motocicletaen avenir mayar callar     b sur sentir occidente    orientar motocicleta chocar taxi	1
9655	1050348814190735360	2018-10-11 06:34:06	RedapBogota	Reporte de tránsitoEVENTUALIDADES EN VÍAen la avenida Ciudad de Cali con calle 66 en sentido norte - sur chocan un bus de servicio especial y una motocicleta, una persona lesionadaen la avenida Boyacá con calle 39 B Sur en sentido sur - norte chocan dos vehículos particulares	reportar tránsitoeventualidades víaen avenir ciudad cali callar     sentir norte    sur chocar bus servicio especial y motocicleta   personar lesionadaen avenir boyacá callar     b sur sentir sur    norte chocar vehículo particular	1
61929	1068517833401745408	2018-11-30 09:51:18	RedapBogota	Se solicita limpieza por escombros caídos con las lluvias Avenida circunvalar trasversal primera a la altura del Parque Nacional asimismo en la entrada desde la circunvalar en el sentido Sur a coger la carrera quinta @BomberosBogota @IDIGER @SectorMovilidad @Bogota	solicitar limpieza escombro caído lluvia avenir circunvalar trasversal a altura parque nacional asimismo entrar circunvalar sentir sur a coger carrera quinto        	1
42711	1062300575667228672	2018-11-13 06:06:08	RedapBogota	Buenos dias trafico pesado en la av boyaca entre la 116 y la 127 sentido sur norte, Ciclista muerto por accidente.	traficar pesar av boyaca      y      sentir sur norte   ciclista morir accidentar	1
11222	1050702245753442304	2018-10-12 05:58:31	Reporteropablo	Aparatoso accidente de tránsito en la carrera 10 con calle 27 sur. Un camión de basura y un taxi chocaron. Ambos vehículos permanecen en la vía lo que genera fuertes trancones en el sector #ArribaBogotá @Citytv https://t.co/uGTKsxjZgK	aparatoso accidentar tránsito carrera     callar     sur   camión basura y taxi chocar   vehículo permanecer vía generar fuerte trancones sector   bogotá    	1
57185	1067089191257948161	2018-11-26 11:14:23	SectorMovilidad	@NoticiasBta ¡Hola! A la altura de la carrera 94 sentido oriente occidente se presentó un incidente entre un tractocamión y un peatón. Ya está asignada la unidad de tránsito para solucionar los problemas de movilidad generados.	    hola   a altura carrera     sentir orientar occidente presentar incidente tractocamión y peatón   asignar unidad tránsito solucionar problema movilidad generar	1
78805	1076471474964312065	2018-12-22 08:36:14	SectorMovilidad	@Enrique81275398 Hola Enrique, nuestro Centro de Gestión nos informa sobre un incidente vial entre vehículos particulares a la altura de la calle 10B, sentido sur - norte. A la hora es la única novedad reportada. Feliz día	   hola enrique   centrar gestión informar incidente vial vehículo particular a altura callar    b   sentir sur    norte   a hora único novedad reportar   feliz	1
68954	1072183741559246853	2018-12-10 12:38:18	SectorMovilidad	@javier7dc Hola Javier, tenemos un incidente vial a la altura de la calle 83, donde se involucran dos vehículos particulares y dos motos. @TransitoBta en el punto. Feliz día.	   hola javier   incidente vial a altura callar      involucrar vehículo particular y moto     punto   feliz	1
